Date,HomeTeam,AwayTeam,BetOn,BetTeam,ModelProb,ImpProb,Edge,Odds,Stake,Won,PnL,Bankroll,Strategy,OddsBucket
2002-09-11,West Ham,West Brom,A,West Brom,0.4655200458233184,0.44335242459363655,0.022167621229681855,2.255541967356037,122.25973525095449,1,153.50222852541165,6293.591369541872,kelly,2.00–2.99
2002-09-11,Fulham,Tottenham,H,Fulham,0.5223238349350516,0.49745127136671585,0.02487256356833578,2.010247148936947,155.74385377292174,1,157.33978423854694,6450.931153780419,kelly,2.00–2.99
2002-09-11,Fulham,Tottenham,A,Tottenham,0.4776761623993559,0.454929678475577,0.02274648392377887,2.1981419267938245,134.60281727730776,0,-134.60281727730776,6316.328336503111,kelly,2.00–2.99
2002-09-11,Blackburn,Chelsea,H,Blackburn,0.5314582748074622,0.5061507379118687,0.025307536895593508,1.975696023136334,161.8416029871564,0,-161.8416029871564,6154.486733515955,kelly,1.50–1.99
2002-09-11,Blackburn,Chelsea,A,Chelsea,0.4685417225125065,0.4462302119166727,0.02231151059583375,2.240995731115436,123.98283449339894,1,153.86216833789973,6308.348901853855,kelly,2.00–2.99
2002-09-11,Aston Villa,Charlton,H,Aston Villa,0.5249760385561271,0.49997717957726384,0.024998858978863225,2.0000912858573083,157.69432728448768,1,157.7087225463465,6466.057624400201,kelly,2.00–2.99
2002-09-11,Aston Villa,Charlton,A,Charlton,0.4750239587357516,0.45240377022452527,0.022620188511226325,2.210414823695448,133.55044687611843,0,-133.55044687611843,6332.507177524083,kelly,2.00–2.99
2002-09-11,Liverpool,Birmingham,H,Liverpool,0.5547298377424122,0.5283141311832498,0.026415706559162477,1.892813273346161,177.31891333197208,0,-177.31891333197208,6155.188264192111,kelly,1.50–1.99
2002-09-14,Charlton,Arsenal,H,Charlton,0.5147308731504417,0.4902198791908969,0.02451099395954487,2.0399009555681222,147.97534878764952,0,-147.97534878764952,6007.2129154044615,kelly,2.00–2.99
2002-09-14,Charlton,Arsenal,A,Arsenal,0.4852691242167645,0.4621610706826329,0.02310805353413159,2.1637478001402295,129.04885651944107,1,150.18032288511165,6157.393238289573,kelly,2.00–2.99
2002-09-14,Everton,Middlesbrough,H,Everton,0.5241805984491432,0.4992196175706126,0.024960980878530603,2.0031264093073307,153.45506760562017,1,153.93483095723943,6311.328069246812,kelly,2.00–2.99
2002-09-14,Everton,Middlesbrough,A,Middlesbrough,0.4758193988544749,0.45316133224235705,0.022658066612117833,2.2067196136346117,130.7538221376307,0,-130.7538221376307,6180.574247109182,kelly,2.00–2.99
2002-09-14,Chelsea,Newcastle,H,Chelsea,0.5530327840406699,0.5266978895625427,0.026334894478127202,1.898621619370007,171.9459590634537,1,154.5143561777297,6335.088603286911,kelly,1.50–1.99
2002-09-14,Sunderland,Fulham,H,Sunderland,0.5243069429174544,0.49933994563567086,0.02496699728178353,2.0026437074385823,157.9596160701726,0,-157.9596160701726,6177.128987216739,kelly,2.00–2.99
2002-09-14,Sunderland,Fulham,A,Fulham,0.475693054405924,0.4530410041961181,0.02265205020980593,2.207305720095719,127.91144952761017,1,154.4282246804186,6331.557211897158,kelly,2.00–2.99
2002-09-14,Leeds,Man United,H,Leeds,0.5412467083274242,0.5154730555499277,0.025773652777496436,1.939965608741972,168.39864014735525,1,158.2889302974291,6489.846142194587,kelly,1.50–1.99
2002-09-14,Leeds,Man United,A,Man United,0.4587532889861502,0.436907894272524,0.021845394713626176,2.2888119283471764,125.88815325672458,0,-125.88815325672458,6363.957988937862,kelly,2.00–2.99
2002-09-14,West Brom,Southampton,H,West Brom,0.5380507145345794,0.5124292519376946,0.025621462596884803,1.9514889054803377,167.21051481218186,1,159.0989497234467,6523.056938661309,kelly,1.50–1.99
2002-09-14,West Brom,Southampton,A,Southampton,0.4619492827827199,0.4399516978883047,0.021997584894415223,2.272976794497747,128.1063599677594,0,-128.1063599677594,6394.95057869355,kelly,2.00–2.99
2002-09-14,Bolton,Liverpool,H,Bolton,0.5250729196651289,0.5000694473001228,0.025003472365006107,1.9997222493775706,159.91818184188324,0,-159.91818184188324,6235.032396851667,kelly,1.50–1.99
2002-09-14,Bolton,Liverpool,A,Liverpool,0.4749270776849311,0.45231150255707714,0.02261557512785395,2.2108657293627196,128.7308791894954,1,155.8758099212925,6390.90820677296,kelly,2.00–2.99
2002-09-15,Man City,Blackburn,H,Man City,0.5384580544134298,0.5128171946794569,0.0256408597339729,1.950012617313004,168.179561258062,0,-168.179561258062,6222.728645514898,kelly,1.50–1.99
2002-09-15,Man City,Blackburn,A,Blackburn,0.4615419429045648,0.4395637551472046,0.021978187757360212,2.2749828398956873,122.01592936780263,0,-122.01592936780263,6100.712716147095,kelly,2.00–2.99
2002-09-15,Tottenham,West Ham,H,Tottenham,0.5693562255737373,0.5422440243559403,0.027112201217797005,1.8441881423917346,180.66804097907314,1,152.51781790367752,6253.230534050773,kelly,1.50–1.99
2002-09-16,Birmingham,Aston Villa,H,Birmingham,0.5379805756502505,0.5123624530002385,0.025618122650011954,1.951743329637651,164.25727240009962,1,156.33076335126944,6409.561297402042,kelly,1.50–1.99
2002-09-16,Birmingham,Aston Villa,A,Aston Villa,0.4620194216336267,0.4400184967939301,0.022000924839696567,2.2726317354525234,125.91154846384056,0,-125.91154846384056,6283.649748938202,kelly,2.00–2.99
2002-09-21,Southampton,Charlton,H,Southampton,0.5377264844646874,0.5121204613949404,0.02560602306974702,1.952665584335662,164.8965243485753,0,-164.8965243485753,6118.753224589626,kelly,1.50–1.99
2002-09-21,Southampton,Charlton,A,Charlton,0.462273512843919,0.44026048842278004,0.02201302442113895,2.271382570765026,120.31691650664618,0,-120.31691650664618,5998.43630808298,kelly,2.00–2.99
2002-09-21,West Ham,Man City,H,West Ham,0.5172668244143873,0.4926350708708451,0.02463175354354219,2.029900141360767,145.60723091457822,0,-145.60723091457822,5852.829077168401,kelly,2.00–2.99
2002-09-21,West Ham,Man City,A,Man City,0.4827331729469295,0.4597458789970757,0.022987293949853826,2.1751146572134052,124.51612787826693,0,-124.51612787826693,5728.312949290134,kelly,2.00–2.99
2002-09-21,Arsenal,Bolton,H,Arsenal,0.5688392698366255,0.5417516855586909,0.027087584277934562,1.8458641230967883,169.3035794070047,1,143.20782373225347,5871.520773022388,kelly,1.50–1.99
2002-09-21,Liverpool,West Brom,H,Liverpool,0.555341664566541,0.5288968233967057,0.026444841169835254,1.8907279374032795,164.7955713093359,1,146.78801932555984,6018.308792347948,kelly,1.50–1.99
2002-09-21,Man United,Tottenham,H,Man United,0.5211992792479557,0.496380265950434,0.02481901329752173,2.014584520368211,148.29490967799808,1,150.45771980869884,6168.766512156647,kelly,2.00–2.99
2002-09-21,Man United,Tottenham,A,Tottenham,0.4788007180799757,0.4560006838856911,0.022800034194284613,2.1929791672213303,129.27230168077563,0,-129.27230168077563,6039.494210475871,kelly,2.00–2.99
2002-09-21,Middlesbrough,Birmingham,H,Middlesbrough,0.5365739554050538,0.5110228146714798,0.025551140733574007,1.9568597942987496,157.79464887282725,1,150.9873552618969,6190.481565737768,kelly,1.50–1.99
2002-09-21,Middlesbrough,Birmingham,A,Birmingham,0.4634260419121473,0.44135813515442596,0.022067906757721356,2.2657336986665304,122.27061609127455,0,-122.27061609127455,6068.210949646493,kelly,2.00–2.99
2002-09-21,Newcastle,Sunderland,H,Newcastle,0.5405028390489693,0.514764608618066,0.025738230430903286,1.9426354944730835,160.93736617244932,1,151.70527374116247,6219.916223387655,kelly,1.50–1.99
2002-09-21,Newcastle,Sunderland,A,Sunderland,0.4594971582632137,0.43761634120306064,0.021880817060153046,2.2851066238771574,121.00000318693826,0,-121.00000318693826,6098.916220200716,kelly,2.00–2.99
2002-09-22,Aston Villa,Everton,H,Aston Villa,0.526719658699398,0.5016377701899027,0.02508188850949522,1.9934703075118017,153.47505038866677,1,152.47290550501802,6251.389125705735,kelly,1.50–1.99
2002-09-22,Aston Villa,Everton,A,Everton,0.4732803385962011,0.4507431796154296,0.02253715898077152,2.2185582505168284,128.25380163513586,0,-128.25380163513586,6123.135324070599,kelly,2.00–2.99
2002-09-22,Blackburn,Leeds,H,Blackburn,0.5180764090169823,0.49340610382569733,0.024670305191284936,2.026728068920007,149.09340431569674,1,153.07838310176516,6276.213707172365,kelly,2.00–2.99
2002-09-22,Blackburn,Leeds,A,Leeds,0.4819235883100161,0.45897484600953903,0.022948742300477054,2.178768637746254,133.10953282512253,0,-133.10953282512253,6143.104174347242,kelly,2.00–2.99
2002-09-23,Fulham,Chelsea,H,Fulham,0.5338930439172079,0.5084695656354361,0.025423478281771827,1.9666860468832519,158.87019871015994,0,-158.87019871015994,5984.233975637082,kelly,1.50–1.99
2002-09-23,Fulham,Chelsea,A,Chelsea,0.4661069534902875,0.44391138427646426,0.022195569213823263,2.2527018576689812,119.42654070084377,0,-119.42654070084377,5864.807434936239,kelly,2.00–2.99
2002-09-28,Leeds,Arsenal,H,Leeds,0.5160927121982,0.4915168687601904,0.02457584343800956,2.034518169279551,141.72799495200155,0,-141.72799495200155,5723.079439984237,kelly,2.00–2.99
