Date,Bankroll,Strategy
2019-01-19,-18129.065207093612,flat
2019-01-19,-18229.065207093612,flat
2019-01-19,-18329.065207093612,flat
2019-01-19,-18224.104678041098,flat
2019-01-19,-18324.104678041098,flat
2019-01-20,-18262.675056739376,flat
2019-01-20,-18217.702524889646,flat
2019-01-29,-18317.702524889646,flat
2019-01-29,-18263.155203384016,flat
2019-01-29,-18363.155203384016,flat
2019-01-29,-18252.292887124055,flat
2019-01-29,-18352.292887124055,flat
2019-01-29,-18263.004228387912,flat
2019-01-29,-18173.711607547928,flat
2019-01-30,-18273.711607547928,flat
2019-01-30,-18373.711607547928,flat
2019-01-30,-18473.711607547928,flat
2019-01-30,-18573.711607547928,flat
2019-01-30,-18520.92555145815,flat
2019-02-02,-18434.630422796556,flat
2019-02-02,-18534.630422796556,flat
2019-02-02,-18416.133896996587,flat
2019-02-02,-18369.478526497376,flat
2019-02-02,-18317.491269191185,flat
2019-02-02,-18417.491269191185,flat
2019-02-02,-18517.491269191185,flat
2019-02-02,-18617.491269191185,flat
2019-02-02,-18717.491269191185,flat
2019-02-02,-18614.630871032612,flat
2019-02-02,-18714.630871032612,flat
2019-02-03,-18631.32461677179,flat
2019-02-03,-18560.8898964507,flat
2019-02-04,-18660.8898964507,flat
2019-02-06,-18601.694579351988,flat
2019-02-09,-18701.694579351988,flat
2019-02-09,-18579.140639253244,flat
2019-02-09,-18679.140639253244,flat
2019-02-09,-18779.140639253244,flat
2019-02-09,-18719.885851538893,flat
2019-02-09,-18662.83401129462,flat
2019-02-09,-18617.446697441155,flat
2019-02-09,-18717.446697441155,flat
2019-02-09,-18616.902299136058,flat
2019-02-09,-18716.902299136058,flat
2019-02-10,-18654.99500534449,flat
2019-02-10,-18589.170791948185,flat
2019-02-11,-18689.170791948185,flat
2019-02-22,-18789.170791948185,flat
2019-02-22,-18667.500419684282,flat
2019-02-22,-18590.543044078342,flat
2019-02-23,-18690.543044078342,flat
2019-02-23,-18790.543044078342,flat
2019-02-23,-18890.543044078342,flat
2019-02-23,-18990.543044078342,flat
2019-02-23,-18920.53077755773,flat
2019-02-24,-18863.843197179012,flat
2019-02-24,-18963.843197179012,flat
2019-02-24,-19063.843197179012,flat
2019-02-26,-19163.843197179012,flat
2019-02-26,-19047.760098434028,flat
2019-02-26,-19147.760098434028,flat
2019-02-26,-19069.204247577087,flat
2019-02-26,-18968.164795770383,flat
2019-02-26,-19068.164795770383,flat
2019-02-27,-18986.006574828963,flat
2019-02-27,-18941.908310888903,flat
2019-02-27,-18893.871122282446,flat
2019-02-27,-18838.974003915755,flat
2019-02-27,-18770.70375849048,flat
2019-02-27,-18658.055315404028,flat
2019-02-27,-18758.055315404028,flat
2019-03-02,-18682.283349599904,flat
2019-03-02,-18590.449039556497,flat
2019-03-02,-18690.449039556497,flat
2019-03-02,-18790.449039556497,flat
2019-03-02,-18739.519190535782,flat
2019-03-02,-18839.519190535782,flat
2019-03-02,-18708.9794202327,flat
2019-03-02,-18633.805920872772,flat
2019-03-02,-18583.83540615993,flat
2019-03-03,-18683.83540615993,flat
2019-03-03,-18618.62583540331,flat
2019-03-03,-18510.532527562795,flat
